ef914bd8-daae-419a-867c-94a6e485efc6|c4e77019-9640-4284-84eb-c03dd3d9b1ab|2025-04-14 14:24|120.0|Product 3,2,30.0;twix,3,20.0
ef914bd8-daae-419a-867c-94a6e485efc6|c42cc235-b42c-4a1d-93b8-7c1286f41bbb|2025-04-14 14:54|60.0|Pending|twix,3,20.0
ef914bd8-daae-419a-867c-94a6e485efc6|80703c45-a5a8-4868-bac5-eec3418016c8|2025-04-14 14:59|20.0|Pending|twix,1,20.0
3ec728ad-4033-4702-ad34-9095ef5f1fa1|07d28bbf-20f8-4d78-a94b-d667da55ea89|2025-04-14 15:17|10.0|Pending|snickers,1,10.0
ef914bd8-daae-419a-867c-94a6e485efc6|686e9831-0995-4687-a2f0-0595c2d8b0e1|2025-04-14 23:24|10.0|Pending|snickers,1,10.0
ef914bd8-daae-419a-867c-94a6e485efc6|07712b0b-2272-4e4b-9d05-1283f17c6fa5|2025-04-15 14:02|10.0|Pending|snickers,1,10.0
ef914bd8-daae-419a-867c-94a6e485efc6|e56f4072-5dd3-474f-ac86-345ca6e29aa8|2025-04-15 14:23|20.0|Pending|product 1,2,10.0
d905f4f8-da28-48d7-9336-b5f4a40689f0|dec1b56c-2c3e-4f76-8e74-a52de45c4288|2025-04-15 14:50|250.0|Pending|Adidas Pants,1,10.0;Oakley Sunglasses,4,60.0
645d55c8-de1d-4f8b-bfb4-04bcad18d09c|89d2a2f7-2949-4f55-a6d7-682548229974|2025-05-01 09:32|279.8625|Pending|Black T Shirt,7,25.0,XLDress Shirt,1,40.0,SDress Shirt,1,40.0,X
645d55c8-de1d-4f8b-bfb4-04bcad18d09c|e27bcaf6-e2aa-4f6f-af6f-1535e83e6601|2025-05-01 13:20|104.2625|Pending|Black T Shirt,1,25.0,XLDress Shirt,1,40.0,SPurple Hoodie,1,30.0,X
645d55c8-de1d-4f8b-bfb4-04bcad18d09c|379869e9-0986-4f91-b532-7b872f523db3|2025-05-05 13:05|131.7|Pending|Dress Shirt,3,40.0,M
645d55c8-de1d-4f8b-bfb4-04bcad18d09c|66819d1e-8f95-4a7c-8036-3cf137d1342e|2025-05-07 13:17|22174.9875|Pending|Black T Shirt,1,25.0,XL;Rolex,2,10000.0,;Air Jordans,1,180.0,M
